atom,Fx,Fy,Fz
1,41.17060793252916,1063.8952431969014,-604.1966720971324
2,162.22637100261392,-1032.4800596734685,597.2601529949184
3,-140.33144889767405,432.67089707913465,-500.8724359369159
4,-71.47473711519831,-5.8899480875672054,360.54580307510514
5,-9.512483312714473,-188.8988300890624,-65.72383357178106
6,297.3020745026262,-257.19277511698226,378.59487586862866
7,37.967356585040996,-13.091015252294703,-167.59934024729037
8,-17.894653504018255,48.48806339420106,-8.499929068700323
9,-365.33377251161255,-127.204390762222,33.68042166059838
10,80.1480772462507,115.783327376176,122.26886545285656
11,42.49456002750096,-61.26283055535285,-162.69167295469066
12,-21.162909548559647,-22.772171009520477,37.929620982398546
13,-33.285045579399814,-43.28420209246123,128.3727872285583
14,-30.984277534633875,33.83141085920901,-20.198769201759525
15,-47.87772674283647,-46.66879502532352,-62.36573996987971
16,367.0323511225864,178.99917198807046,-118.74376351884015
17,-219.1702047839221,126.24248026800369,86.00599876098705
18,10.484055015408991,7.23666902347288,20.099369715399828
19,-43.4146977834417,-125.74978878530172,-102.69910201234434
20,-183.91210110471084,-227.38410473342793,163.37731339850708
21,79.32266343485772,12.724809159710544,-270.21957675209944
22,85.53350981226826,235.36112368882954,104.19599906939112
23,-5.588010928950034,-381.38961272907096,229.07601404687088
24,-351.09761440432084,87.86436761036256,-19.459567313596082
25,80.68551825976526,-24.610309584618438,-248.2231103438114
26,89.32725892903575,160.04062416170584,143.9643757224427
27,446.5619232701192,290.51631829492095,102.71838322424706
28,-105.3050118552269,11.07669356013124,66.4975916715881
29,-158.8023537975574,-251.04135807325022,-151.92623292948005
30,326.08583002630724,14.285851409648473,-126.20676180339329
31,-657.9538821035255,36.492006853276685,-93.36345588664041
32,142.85532797270497,62.12364587968273,170.3100599411685
33,96.3316148412315,18.157379620444985,-80.91749810292238
34,184.27588700712414,-582.2496486832484,-310.7667979738326
35,-322.226207446628,58.31795163017171,122.79186944013082
36,148.07604261053146,132.58231927098177,26.44149454784001
37,87.3222870649059,259.3780981640881,302.71398196514156
38,205.07057123112702,57.09951017677614,149.86890501483927
39,-160.95567403102245,35.80437755385033,7.316432830805624
40,41.38776519836834,-44.92008596606597,-113.63571754697244
41,-1.423019018879133,-284.3109307402113,-215.86025053796482
42,34.260357852451065,54.67024824723001,-19.89718305462656
43,-68.4019470253494,33.60148653546452,252.22366368412625
44,-65.6391378507948,223.07717478495235,-186.7312642339349
45,-244.02264766322864,-36.21145505325222,-269.5827025700699
46,265.6208118248783,-36.96620268704368,-6.256586706132568
47,-79.83571696100267,-10.315200413443971,251.65191332024864
48,291.6272272427503,-38.32743510719518,-18.84178123704252
49,-267.3273203769007,17.199170827840213,-16.869828655761697
50,-21.3067311501463,13.512747586822456,-1.2194454734733853
51,180.09985001053985,-129.23819518072037,330.953817712991
52,-161.58003112428563,84.25774497370769,-154.670614929491
53,-19.32159616958099,-19.546274841178427,31.997451569722845
54,52.49383089274609,0.03730244661737589,-78.32510086325895
55,202.34883348390994,-47.482776109141575,68.39969508209015
56,13.92523649942679,22.617207958675035,-19.820849502576667
57,-82.96306583282447,21.631398967336434,71.56573020609837
58,-283.70617920314123,-187.72609456966234,-307.1733705804687
59,-68.38746864004142,387.14401026166576,455.04032110165883
60,238.51349757148046,-77.98758704172229,-176.28466992480193
61,-115.22646758956122,-37.28752251512767,20.910876622332935
62,-112.8764783464657,-304.73178830859104,559.1325553301834
63,121.87432579980492,55.052261813135104,-14.089777526446273
64,20.50558139326287,-59.636413168824674,-175.49670761188077
65,493.2761674644729,1627.7431007443533,-29.47901764889886
66,-427.90675319047216,-1313.6583934121975,-476.9972129529639
